Date,Protein(g),Fat(g),Carbs(g),Total Cals,Weight(lbs),%Cals Protein,P:NPE ratio (cals),P:NPE (g),Delta Weight
3/17/2018,237.72,138.18,31.92,2322.18,170.514,0.409477302,0.693415008,1.397530864,0.501
3/18/2018,129.58,144.02,8.03,1846.62,171.015,0.280685794,0.390213054,0.852219665,-0.9
3/19/2018,183.23,82.61,7.48,1506.33,170.115,0.48656005,0.947647432,2.033855034,-0.006
3/20/2018,178.64,68.87,11.75,1381.39,170.109,0.517276077,1.071577464,2.215827338,-0.913
3/21/2018,152,72.12,3.93,1272.8,169.196,0.477686989,0.91456077,1.998685076,-1.107
3/22/2018,183.13,126.49,18.45,1944.73,168.089,0.376669255,0.604284736,1.26348834,1.193
3/23/2018,202.49,53.74,22.95,1385.42,169.282,0.584631375,1.407500087,2.640370322,1.865
3/24/2018,140.84,128.5,20.55,1802.06,171.147,0.312620002,0.454799386,0.944917813,-2.685
3/25/2018,189.74,78.05,18.32,1534.69,168.462,0.494536356,0.978381653,1.96886998,1.193
3/26/2018,157.37,88.55,12.12,1474.91,169.655,0.426792143,0.744567853,1.563226383,-1.136
3/28/2018,150.92,82.18,16.61,1409.74,168.519,0.428220807,0.748926879,1.527684988,0.388
3/29/2018,176.87,100.15,17.97,1680.71,168.907,0.42094115,0.726940189,1.49737555,-2.271
3/30/2018,161.08,103.82,9.28,1615.82,166.636,0.398757287,0.663221822,1.424226348,1.116
3/31/2018,234.22,217.83,38.18,3050.07,167.752,0.307166721,0.443348681,0.914886137,3.305
4/2/2018,176.23,95.11,18.27,1633.99,171.057,0.431410229,0.758737232,1.55433057,1.825
4/4/2018,212.32,155.4,24.85,2347.28,172.882,0.361814526,0.56694259,1.177919556,-2.491
4/5/2018,189.06,135.69,22.98,2069.37,170.391,0.365444556,0.575906422,1.19152959,-1.356
4/6/2018,188.26,161.5,40.33,2367.86,169.035,0.318025559,0.466330613,0.932765198,-1.045
4/7/2018,145.31,99.31,32.5,1605.03,167.99,0.362136533,0.567733617,1.10242015,-0.408
4/8/2018,278.43,103.7,26.74,2153.98,167.582,0.517052155,1.070616961,2.134544618,3.448
4/9/2018,150.01,85.61,33.72,1505.41,171.03,0.398589089,0.662756663,1.257102154,0.227
4/10/2018,155.39,115.79,33,1795.67,171.257,0.346143779,0.529388217,1.04435782,-2.753
