Day,Metric,Unit,Amount
3/15/2018,Body Fat (Nokia),%,18.842
3/16/2018,Weight (Nokia),lbs,171.019
3/16/2018,Body Fat (Nokia),%,19.427
3/17/2018,Weight (Nokia),lbs,170.514
3/17/2018,Body Fat (Nokia),%,19.071
3/18/2018,Weight (Nokia),lbs,171.015
3/18/2018,Body Fat (Nokia),%,20.626
3/19/2018,Weight (Nokia),lbs,170.115
3/19/2018,Body Fat (Nokia),%,20.036
3/20/2018,Weight (Nokia),lbs,170.109
3/20/2018,Body Fat (Nokia),%,19.984
3/21/2018,Weight (Nokia),lbs,169.196
3/21/2018,Body Fat (Nokia),%,20.653
3/22/2018,Weight (Nokia),lbs,168.089
3/22/2018,Body Fat (Nokia),%,19.988
3/23/2018,Weight (Nokia),lbs,169.282
3/23/2018,Body Fat (Nokia),%,19.756
3/24/2018,Weight (Nokia),lbs,171.147
3/24/2018,Body Fat (Nokia),%,18.485
3/24/2018,Body Temperature,°F,97.6
3/25/2018,Weight (Nokia),lbs,168.462
3/25/2018,Body Fat (Nokia),%,19.355
3/25/2018,Body Temperature,°F,97.8
3/26/2018,Weight (Nokia),lbs,169.655
3/26/2018,Body Fat (Nokia),%,19.323
3/26/2018,Body Temperature,°F,97.7
3/27/2018,Weight (Nokia),lbs,168.519
3/27/2018,Body Fat (Nokia),%,18.799
3/28/2018,Blood Glucose,mg/dL,110
3/28/2018,Weight (Nokia),lbs,167.282
3/28/2018,Weight (Nokia),lbs,167.143
3/28/2018,Body Fat (Nokia),%,18.07
3/28/2018,Weight (Nokia),lbs,168.473
3/28/2018,Body Fat (Nokia),%,16.894
3/28/2018,Weight (Nokia),lbs,168.27
3/28/2018,Body Fat (Nokia),%,16.194
3/29/2018,Weight (Nokia),lbs,168.907
3/29/2018,Body Fat (Nokia),%,16.916
3/29/2018,Weight,lbs,166.1
3/30/2018,Weight (Nokia),lbs,166.636
3/30/2018,Body Fat (Nokia),%,18.774
3/30/2018,Weight (Nokia),lbs,166.345
3/30/2018,Body Fat (Nokia),%,18.21
3/31/2018,Weight (Nokia),lbs,167.752
3/31/2018,Body Fat (Nokia),%,19.201
4/1/2018,Weight (Nokia),lbs,171.057
4/1/2018,Body Fat (Nokia),%,19.526
4/2/2018,Blood Glucose,mg/dL,114
4/2/2018,Weight (Nokia),lbs,172.375
4/2/2018,Body Fat (Nokia),%,19.402
4/3/2018,Weight (Nokia),lbs,172.882
4/3/2018,Body Fat (Nokia),%,18.567
4/4/2018,Blood Glucose,mg/dL,88
4/4/2018,Blood Glucose,mg/dL,110
4/4/2018,Weight (Nokia),lbs,171.579
4/4/2018,Body Fat (Nokia),%,17.95
4/5/2018,Weight (Nokia),lbs,170.391
4/5/2018,Body Fat (Nokia),%,18.67
4/6/2018,Weight (Nokia),lbs,169.035
