Day,Exercise,Minutes,Calories Burned
2018-1-1,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",12.0,-85.19
2018-1-1,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",16.0,-159.02
2018-1-2,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",16.0,-113.58
2018-1-2,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",6.0,-23.85
2018-1-3,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",20.0,-79.51
2018-1-3,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",12.0,-85.19
2018-1-5,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",12.0,-47.41
2018-1-5,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",22.0,-86.91
2018-1-15,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-214.99
2018-1-16,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",20.0,-141.98
2018-1-16,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-31.80
2018-1-19,"rope jumping, moderate pace, 100-120 skips/min, general, 2 foot skip, plain bounce",15.0,-229.84
2018-1-19,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",2.0,-7.95
2018-1-20,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",18.0,-127.69
2018-1-20,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",15.0,-59.17
2018-1-21,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",5.0,-35.19
2018-1-22,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-32.09
2018-1-22,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",15.0,-107.46
2018-1-23,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",12.0,-47.30
2018-1-23,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",10.0,-70.39
2018-1-24,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-211.18
2018-1-25,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",15.0,-104.98
2018-1-26,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-117.17
2018-1-28,"running, 6 mph (10 min/mile)",10.0,-122.45
2018-1-28,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",10.0,-69.57
2018-1-29,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",8.0,-55.66
2018-1-29,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-31.17
2018-1-30,"rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",20.0,-219.10
2018-1-30,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",12.0,-47.19
2018-1-31,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",30.0,-117.77
2018-1-31,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",12.0,-84.12
2018-2-1,"Starting Strength",30.0,-100.00
2018-2-2,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",45.0,-315.77
2018-2-3,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-210.51
2018-2-4,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",10.0,-70.92
2018-2-6,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",15.0,-104.46
2018-2-7,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",26.0,-101.40
2018-2-9,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-211.22
2018-2-10,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-210.94
2018-2-12,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",15.0,-147.76
2018-2-12,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-31.52
2018-2-12,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",20.0,-78.81
2018-2-13,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",12.0,-47.28
2018-2-13,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",20.0,-197.02
2018-2-14,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",23.0,-158.97
2018-2-15,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",15.0,-103.88
2018-2-16,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-207.35
2018-2-17,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",30.0,-212.31
2018-2-18,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",12.0,-83.41
2018-2-18,"bicycling, stationary, general",60.0,-500.44
2018-2-19,"running, 6 mph (10 min/mile)",15.0,-181.92
2018-2-19,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",15.0,-103.36
2018-2-19,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",15.0,-57.88
2018-2-19,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",9.0,-34.73
2018-2-20,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",8.0,-30.73
2018-2-20,"resistance training (weight lifting, free weight, nautilus or universal), power lifting or body building, vigorous effort",17.0,-116.62
